answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens,name_0,name_1,name_2,name_3,name_4,query_0,query_1,query_2,query_3,query_4,top_k_0,top_k_1,top_k_2,top_k_3,top_k_4,m_0,m_1,m_2,m_3,m_4
0.0,0.0,0.0,0.0,3980,execute_agentic_rag,,,,,Anton’s Pizza und Chez Anton Cappuccino Angebot und Preise,,,,,6,,,,,2,,,,
0.0,0.16666666666666666,0.3333333333333333,0.09090909090909091,4244,execute_agentic_rag,,,,,"Mineralwasser Preise und Gebinde bei Anton's Pizza, Chez Anton und Il sogno de Anton",,,,,7,,,,,2,,,,
0.6,0.4,0.8,0.08333333333333333,9071,execute_agentic_rag,execute_agentic_rag,,,,Rindfleisch Hauptgerichte Chez Anton,Rindfleisch Hauptgericht Il sogno de Anton Preis,,,,6,4.0,,,,2,2.0,,,
0.5,0.06666666666666667,1.0,0.3076923076923077,6591,execute_agentic_rag,execute_agentic_rag,,,,EU-Bezug Italien Frankreich,politische Zusammenarbeit Italien Frankreich EU,,,,5,3.0,,,,2,2.0,,,
1.0,0.5,1.0,0.35294117647058826,8986,execute_agentic_rag,execute_agentic_rag,,,,regionale Schwerpunkte der Küche in der Provence Frankreich und Norditalien,kulinarische Unterschiede und Besonderheiten Provence Frankreich Norditalien,,,,6,4.0,,,,2,2.0,,,
1.0,0.8571428571428571,0.8571428571428571,0.3,8226,execute_agentic_rag,execute_agentic_rag,,,,UNESCO Anerkennung französische und mexikanische Küche Jahr und Art der Auszeichnung,Unterschied der UNESCO-Auszeichnung französische und mexikanische Küche 2010,,,,6,4.0,,,,2,2.0,,,
0.3333333333333333,0.16666666666666666,0.6666666666666666,0.13333333333333333,5608,execute_agentic_rag,,,,,Vegetarische Gerichte und Preise aus verschiedenen Restaurantkarten Liste,,,,,7,,,,,2,,,,
0.0,0.0,0.0,0.0,7596,execute_agentic_rag,execute_agentic_rag,,,,italienisches Gericht mit Wein in der Zutatenliste,französische Weinregionen als Referenz zu italienischem Wein in Gerichten,,,,5,4.0,,,,2,2.0,,,
0.2222222222222222,0.2222222222222222,0.16666666666666666,0.034482758620689655,10663,execute_agentic_rag,execute_agentic_rag,,,,Kaffeevarianten auf allen Restaurantkarten,"Preise der Kaffeevarianten auf allen Restaurantkarten (Espresso, Café)",,,,7,6.0,,,,2,2.0,,,
0.8,1.0,0.8,0.047619047619047616,8244,execute_agentic_rag,execute_agentic_rag,,,,traditionelle französische Gemüsespeise im Länderdokument,Ratatouille Menükarte Preis,,,,5,4.0,,,,2,2.0,,,
1.0,1.0,1.0,0.21052631578947367,7397,execute_agentic_rag,execute_agentic_rag,,,,Panna Cotta italienisches Küchenporträt,Il sogno de Anton Speisekarte Panna Cotta Preis,,,,5,6.0,,,,2,2.0,,,
1.0,1.0,0.8,0.125,8429,execute_agentic_rag,execute_agentic_rag,,,,"Anton’s Pizza, Variante, Einfachheit, Herkunft, Küchenporträt",Anton's Pizza Küchenporträt: Welche Pizza steht für Einfachheit und Herkunft?,,,,5,3.0,,,,2,2.0,,,
1.0,0.4,1.0,0.17391304347826086,9177,execute_agentic_rag,execute_agentic_rag,,,,Tönis Tacos mexikanische Getränke Preise,Typische mexikanische Getränke Beschreibung Liste,,,,6,4.0,,,,2,2.0,,,
1.0,0.3333333333333333,0.25,0.125,3734,execute_agentic_rag,,,,,Taco-Sorten auf der Speisekarte und deren gemeinsame Grundelemente laut Küchenbeschreibung,,,,,5,,,,,2,,,,
0.6666666666666666,0.3,0.16666666666666666,0.07407407407407407,15492,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Chez Anton Suppenkarte und italienische Arme-Leute-Suppenprinzip,Welche konkreten Suppen stehen auf der Chez Anton Speisekarte?,Was sind die Zutaten und das Prinzip der Soupe du Terrier bei Chez Anton?,,,5,4.0,3.0,,,2,2.0,2.0,,
0.8,0.07692307692307693,0.75,0.1111111111111111,5786,execute_agentic_rag,execute_agentic_rag,,,,"typischer italienischer Cocktail, nationaler Cocktail Italien",Welche kulturellen Aspekte und Bedeutungen sind mit dem Negroni in Italien verbunden? Was macht ihn besonders italienisch?,,,,5,3.0,,,,2,2.0,,,
0.8571428571428571,0.4,1.0,0.25,3499,execute_agentic_rag,,,,,Klassikerliste der Cocktailkultur und alkoholische Getränke bei Tönis Tacos mit Preisen,,,,,6,,,,,2,,,,
0.5,0.6666666666666666,0.5,0.05263157894736842,8061,execute_agentic_rag,execute_agentic_rag,,,,Käseprodukt auf italienischer Vorspeisenkarte,"wichtiger Käse in italienischer Küche, Antipasti und Küchenporträt",,,,5,4.0,,,,2,2.0,,,
0.0,0.5,0.5,0.1111111111111111,7463,execute_agentic_rag,execute_agentic_rag,,,,französische Desserts Menü Preise,italienische Desserts Menü Preise,,,,4,4.0,,,,2,2.0,,,
1.0,0.3,1.0,0.25,9317,execute_agentic_rag,execute_agentic_rag,,,,Risotto norditalienische Spezialität Charakteristika,Risotto Gerichte mit Preisen aus Restaurantmenüs,,,,5,6.0,,,,2,2.0,,,
1.0,0.0,1.0,0.14285714285714285,3385,execute_agentic_rag,,,,,Preis der Pizza Doggish Special bei Anton's Pizza,,,,,5,,,,,2,,,,
1.0,1.0,1.0,0.15789473684210525,9190,execute_agentic_rag,execute_agentic_rag,,,,"französische Weinregionen, wichtige Beispiele","Top französische Weinregionen, Übersicht",,,,5,3.0,,,,2,2.0,,,
1.0,0.7142857142857143,1.0,0.07692307692307693,4047,execute_agentic_rag,,,,,heilige Fünf mexikanische Küche Zutaten,,,,,5,,,,,2,,,,
1.0,0.0,1.0,0.1111111111111111,3379,execute_agentic_rag,,,,,Vater der modernen Barkultur,,,,,4,,,,,2,,,,
1.0,0.5,1.0,0.125,6216,execute_agentic_rag,execute_agentic_rag,,,,Zeitraum der Prohibition in den USA,Wann begann und endete die Prohibition in den USA genau?,,,,3,3.0,,,,2,2.0,,,
1.0,1.0,1.0,0.14285714285714285,3175,execute_agentic_rag,,,,,Hauptstadt Frankreichs,,,,,3,,,,,2,,,,
1.0,1.0,1.0,0.08333333333333333,3585,execute_agentic_rag,,,,,Wie viele Regionen hat Italien laut Länderdokument?,,,,,6,,,,,2,,,,
1.0,0.4,0.0,0.0,8670,execute_agentic_rag,execute_agentic_rag,,,,Typische Menüfolge in der italienischen Küche,Ablauf italienisches Menü Reihenfolge Gänge Beispielen,,,,5,3.0,,,,2,2.0,,,
1.0,0.5,0.0,0.0,6037,execute_agentic_rag,execute_agentic_rag,,,,Gastronomisches Mahl der Franzosen UNESCO-Weltkulturerbe Jahr,UNESCO Aufnahme gastronomisches Mahl Frankreich Datum Jahr,,,,3,2.0,,,,2,2.0,,,
1.0,0.5,1.0,0.4,3777,execute_agentic_rag,,,,,Speisekarte und Preise von Tönis Tacos,,,,,4,,,,,2,,,,
