answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens,question_id,name_0,name_1,name_2,name_3,name_4,query_0,query_1,query_2,query_3,query_4,top_k_0,top_k_1,top_k_2,top_k_3,top_k_4
0.2857142857142857,0.2727272727272727,0.2857142857142857,0.14285714285714285,3097,27,execute_agentic_rag,,,,,Klassikerliste der Cocktailkultur und alkoholische Getränke bei Tönis Tacos mit Preisen,,,,,7,,,,
0.0,1.0,0.5,0.125,5140,28,execute_agentic_rag,execute_agentic_rag,,,,Welcher Käse ist zentral für eine italienische Vorspeise und wird auch als wichtiger italienischer Käse im Küchenporträt genannt?,Mozzarella italienische Vorspeise und Küchenporträt,,,,5,3.0,,,
0.0,0.16666666666666666,0.5,0.041666666666666664,15757,29,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,Französische Desserts auf Speisekarten mit Preisangaben,Italienische Desserts auf Speisekarten mit Preisangaben,klassische französische Desserts mit Preis auf typischen Restaurantkarten,italienisches Dessert mit konkretem Preis auf Restaurantkarte,,5,5.0,7.0,7.0,
0.2,0.2,0.6,0.23529411764705882,9541,30,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Charakterisierung Risotto als norditalienische Spezialität,Risotto Gerichte und Preise in italienischen Restaurantmenüs,Risotto Spezialitäten und Preise in einem zweiten italienischen Menü,,,4,7.0,6.0,,
1.0,0.0,1.0,0.2,2586,31,execute_agentic_rag,,,,,Preis der Pizza Doggish Special bei Anton's Pizza,,,,,5,,,,
1.0,0.6666666666666666,0.0,0.0,2855,32,execute_agentic_rag,,,,,wichtige französische Weinregionen,,,,,5,,,,
1.0,1.0,1.0,0.2,2478,33,execute_agentic_rag,,,,,heilige Fünf mexikanische Küche Zutaten,,,,,5,,,,
1.0,0.0,1.0,0.2,2262,34,execute_agentic_rag,,,,,Vater der modernen Barkultur,,,,,5,,,,
1.0,1.0,1.0,0.3333333333333333,2121,35,execute_agentic_rag,,,,,Zeitraum der Prohibition in den USA,,,,,3,,,,
1.0,1.0,1.0,0.3333333333333333,2065,36,execute_agentic_rag,,,,,Hauptstadt von Frankreich,,,,,3,,,,
1.0,0.5,1.0,0.2,2345,37,execute_agentic_rag,,,,,Anzahl der Regionen in Italien laut offiziellen Dokumenten,,,,,5,,,,
0.5,0.25,0.0,0.0,2878,38,execute_agentic_rag,,,,,typische italienische Menüfolge Aufbau,,,,,5,,,,
1.0,0.0,0.0,0.0,2122,39,execute_agentic_rag,,,,,Gastronomisches Mahl der Franzosen UNESCO-Weltkulturerbe seit wann,,,,,3,,,,
0.5,0.25,1.0,0.4,2690,40,execute_agentic_rag,,,,,Zwei Gerichte mit Preisen von der Speisekarte von Tönis Tacos,,,,,5,,,,
